Setup title,NEWOFET_Id-Vd
Application test name,Id-Vd[3]
Test date,9/27/2022
Test time,12:42:25
Device ID,D3
Count,2
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU2:HR	HRSMU","SMU1:HR	HRSMU","SMU3:HR	HRSMU",0,15,3,0,-1,20,0.2,0.0001,MEDIUM,0.1,0.1,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,-1,1E-07,1E-05,25,0.0005
Vdrain,Idrain,Igate,rout,Vgate,Vsource,IdrainPerWg
1,6.56386E-10,2.482E-12,1135621610.87926,0,0,6.56386E-11
0.8,4.80271E-10,1.038E-12,1235185493.98156,0,0,4.80271E-11
0.6,3.32548E-10,6.11E-13,1455667641.96399,0,0,3.32548E-11
0.4,2.05483E-10,8.14E-13,1686930924.39597,0,0,2.05483E-11
0.2,9.5431E-11,1.133E-12,1929217027.26948,0,0,9.5431E-12
0,-1.855E-12,8.659E-12,2183644502.67496,0,0,-1.855E-13
-0.2,-8.7749E-11,9.329E-12,2456926998.55656,0,0,-8.7749E-12
-0.4,-1.6466E-10,9.662E-12,2711717330.58546,0,0,-1.6466E-11
-0.6,-2.35257E-10,9.677E-12,2956611722.96548,0,0,-2.35257E-11
-0.8,-2.9995E-10,9.673E-12,3198030013.51168,0,0,-2.9995E-11
-1,-3.60334E-10,9.208E-12,3411164742.20122,0,0,-3.60334E-11
-1.2,-4.17212E-10,8.833E-12,3607210814.41802,0,0,-4.17212E-11
-1.4,-4.71223E-10,8.353E-12,3789673140.69161,0,0,-4.71223E-11
-1.6,-5.22762E-10,7.898E-12,3949057162.60243,0,0,-5.22762E-11
-1.8,-5.72513E-10,7.469E-12,4082340814.22288,0,0,-5.72513E-11
-2,-6.20745E-10,6.978E-12,4260803800.63699,0,0,-6.20745E-11
-2.2,-6.66392E-10,2.577E-12,4358153014.75234,0,0,-6.66392E-11
-2.4,-7.12527E-10,2.372E-12,4383177365.27208,0,0,-7.12527E-11
-2.6,-7.5765E-10,2.347E-12,4454392587.89074,0,0,-7.5765E-11
-2.8,-8.02326E-10,2.214E-12,4513755670.40556,0,0,-8.02326E-11
-3,-8.46268E-10,2.208E-12,4562980538.888,0,0,-8.46268E-11
-3.2,-8.89988E-10,2.127E-12,4588103048.79447,0,0,-8.89988E-11
-3.4,-9.3345E-10,1.977E-12,4633115190.82643,0,0,-9.3345E-11
-3.6,-9.76323E-10,1.901E-12,4663635303.71926,0,0,-9.76323E-11
-3.8,-1.01922E-09,1.976E-12,4623368817.68901,0,0,-1.01922E-10
-4,-1.06284E-09,2.367E-12,4644681839.294,0,0,-1.06284E-10
-4.2,-1.10534E-09,2.383E-12,4699248120.30076,0,0,-1.10534E-10
-4.4,-1.14796E-09,2.226E-12,4715868898.84462,0,0,-1.14796E-10
-4.6,-1.19016E-09,2.155E-12,4733727810.65089,0,0,-1.19016E-10
-4.8,-1.23246E-09,2.177E-12,4727014890.09689,0,0,-1.23246E-10
-5,-1.27478E-09,2.018E-12,4724223455.76946,0,0,-1.27478E-10
-5.2,-1.31713E-09,1.861E-12,4725897920.60492,0,0,-1.31713E-10
-5.4,-1.35942E-09,1.974E-12,4735969689.79399,0,0,-1.35942E-10
-5.6,-1.40159E-09,1.843E-12,4727014890.09691,0,0,-1.40159E-10
-5.8,-1.44404E-09,1.909E-12,4703668861.71212,0,0,-1.44404E-10
-6,-1.48663E-09,1.776E-12,4696489374.19279,0,0,-1.48663E-10
-6.2,-1.52921E-09,1.774E-12,4695938013.61823,0,0,-1.52921E-10
-6.4,-1.57181E-09,1.687E-12,4682744088.03559,0,0,-1.57181E-10
-6.6,-1.61463E-09,1.763E-12,4666900011.66724,0,0,-1.61463E-10
-6.8,-1.65752E-09,1.678E-12,4666900011.66725,0,0,-1.65752E-10
-7,-1.70034E-09,1.767E-12,4666900011.66726,0,0,-1.70034E-10
-7.2,-1.74323E-09,1.64E-12,4652244708.07164,0,0,-1.74323E-10
-7.4,-1.78632E-09,1.778E-12,4632310364.79444,0,0,-1.78632E-10
-7.6,-1.82958E-09,1.65E-12,4608825901.60157,0,0,-1.82958E-10
-7.8,-1.87311E-09,1.669E-12,4605111673.95809,0,0,-1.87311E-10
-8,-1.91644E-09,1.509E-12,4606172270.84292,0,0,-1.91644E-10
-8.2,-1.95995E-09,1.619E-12,4579278763.59473,0,0,-1.95995E-10
-8.4,-2.00379E-09,1.442E-12,4560483411.2416,0,0,-2.00379E-10
-8.6,-2.04766E-09,1.733E-12,4557365842.54301,0,0,-2.04766E-10
-8.8,-2.09156E-09,1.697E-12,4524886877.82805,0,0,-2.09156E-10
-9,-2.13606E-09,1.539E-12,4510599909.78802,0,0,-2.13606E-10
-9.2,-2.18024E-09,1.637E-12,4503490204.90882,0,0,-2.18024E-10
-9.4,-2.22488E-09,1.479E-12,4485310607.75958,0,0,-2.22488E-10
-9.6,-2.26942E-09,1.56E-12,4482294935.00673,0,0,-2.26942E-10
-9.8,-2.31412E-09,1.609E-12,4458811726.67484,0,0,-2.31412E-10
-10,-2.35913E-09,1.669E-12,4433606739.08224,0,0,-2.35913E-10
-10.2,-2.40434E-09,1.57E-12,4421843908.91001,0,0,-2.40434E-10
-10.4,-2.44959E-09,1.628E-12,4414036636.50408,0,0,-2.44959E-10
-10.6,-2.49496E-09,1.609E-12,4391743522.17831,0,0,-2.49496E-10
-10.8,-2.54067E-09,1.547E-12,4374453193.35082,0,0,-2.54067E-10
-11,-2.5864E-09,1.674E-12,4373496610.54013,0,0,-2.5864E-10
-11.2,-2.63213E-09,1.57E-12,4342633807.40419,0,0,-2.63213E-10
-11.4,-2.67851E-09,1.778E-12,4309416074.12194,0,0,-2.67851E-10
-11.6,-2.72495E-09,1.64E-12,4308951847.46311,0,0,-2.72495E-10
-11.8,-2.77134E-09,1.793E-12,4296916962.07972,0,0,-2.77134E-10
-12,-2.81804E-09,1.782E-12,4284949116.22925,0,0,-2.81804E-10
-12.2,-2.86469E-09,1.667E-12,4265756638.58376,0,0,-2.86469E-10
-12.4,-2.91181E-09,1.763E-12,4251248804.33626,0,0,-2.91181E-10
-12.6,-2.95878E-09,1.601E-12,4236839317.86888,0,0,-2.95878E-10
-12.8,-3.00622E-09,1.783E-12,4205656608.13794,0,0,-3.00622E-10
-13,-3.05389E-09,1.694E-12,4195070791.81961,0,0,-3.05389E-10
-13.2,-3.10157E-09,1.751E-12,4181913225.30059,0,0,-3.10157E-10
-13.4,-3.14954E-09,1.728E-12,4162330905.30695,0,0,-3.14954E-10
-13.6,-3.19767E-09,1.716E-12,4153686396.67705,0,0,-3.19767E-10
-13.8,-3.24584E-09,1.635E-12,4133512452.20627,0,0,-3.24584E-10
-14,-3.29444E-09,1.707E-12,4113956597.75789,0,0,-3.29444E-10
-14.2,-3.34307E-09,1.849E-12,4107197864.25712,0,0,-3.34307E-10
-14.4,-3.39183E-09,1.84E-12,4091653027.82323,0,0,-3.39183E-10
-14.6,-3.44083E-09,1.746E-12,4074564530.91575,0,0,-3.44083E-10
-14.8,-3.49E-09,1.75E-12,4051453458.92839,0,0,-3.49E-10
-15,-3.53956E-09,1.78E-12,4043262913.17094,0,0,-3.53956E-10
-15.2,-3.58893E-09,1.884E-12,4039180046.45058,0,0,-3.58893E-10
-15.4,-3.63859E-09,1.784E-12,4007212983.37004,0,0,-3.63859E-10
-15.6,-3.68875E-09,1.872E-12,3992812936.71392,0,0,-3.68875E-10
-15.8,-3.73877E-09,1.828E-12,3986446083.31674,0,0,-3.73877E-10
-16,-3.78909E-09,1.872E-12,3970223325.06202,0,0,-3.78909E-10
-16.2,-3.83952E-09,1.933E-12,3949057162.60241,0,0,-3.83952E-10
-16.4,-3.89038E-09,1.792E-12,3929659102.07292,0,0,-3.89038E-10
